date,close,high,low,volume,code
2017-09-04 09:55,8.81,8.83,8.81,1162.0,000529
2017-09-04 10:00,8.81,8.82,8.8,1415.0,000529
2017-09-04 10:05,8.8,8.81,8.79,990.0,000529
2017-09-04 10:10,8.79,8.8,8.77,946.0,000529
2017-09-04 10:15,8.76,8.79,8.76,1038.0,000529
2017-09-04 10:20,8.76,8.78,8.72,1816.0,000529
2017-09-04 10:25,8.75,8.77,8.74,821.0,000529
2017-09-04 10:30,8.75,8.76,8.73,837.0,000529
2017-09-04 10:35,8.77,8.77,8.74,529.0,000529
2017-09-04 10:40,8.76,8.77,8.76,401.0,000529
2017-09-04 10:45,8.74,8.78,8.74,735.0,000529
2017-09-04 10:50,8.75,8.75,8.74,166.0,000529
2017-09-04 10:55,8.75,8.76,8.74,382.0,000529
2017-09-04 11:00,8.75,8.76,8.75,209.0,000529
2017-09-04 11:05,8.75,8.76,8.74,658.0,000529
2017-09-04 11:10,8.74,8.75,8.74,388.0,000529
2017-09-04 11:15,8.75,8.75,8.73,540.0,000529
2017-09-04 11:20,8.76,8.77,8.74,582.0,000529
2017-09-04 11:25,8.75,8.77,8.75,376.0,000529
2017-09-04 11:30,8.75,8.75,8.74,268.0,000529
2017-09-04 13:05,8.75,8.77,8.75,273.0,000529
2017-09-04 13:10,8.76,8.77,8.75,603.0,000529
2017-09-04 13:15,8.76,8.77,8.75,507.0,000529
2017-09-04 13:20,8.75,8.77,8.75,162.0,000529
2017-09-04 13:25,8.76,8.77,8.75,385.0,000529
2017-09-04 13:30,8.77,8.77,8.76,707.0,000529
2017-09-04 13:35,8.77,8.78,8.76,88.0,000529
2017-09-04 13:40,8.76,8.77,8.75,551.0,000529
2017-09-04 13:45,8.76,8.77,8.76,386.0,000529
2017-09-04 13:50,8.75,8.77,8.75,1493.0,000529
2017-09-04 13:55,8.74,8.75,8.74,649.0,000529
2017-09-04 14:00,8.73,8.75,8.73,896.0,000529
2017-09-04 14:05,8.74,8.75,8.73,314.0,000529
